model,feature_set,subject,fold,sens,spec,bal_acc,auc,hp_trees,hp_min_n,hp_tree_depth,hp_learn_rate,hp_mtry
lgb,sensor_only,01,1,0.3325153374233129,0.8140096618357487,0.5732624996295308,0.5920304673838949,530,12,6,0.09158203973520893,NA
lgb,sensor_only,03,2,0.3268765133171913,0.8925,0.6096882566585956,0.7251422518159797,530,12,6,0.09158203973520893,NA
lgb,sensor_only,04,3,0.1875,0.96440489432703,0.575952447163515,0.7141387255680915,530,12,6,0.09158203973520893,NA
lgb,sensor_only,05,4,0.2700381679389313,0.9591474245115453,0.6145927962252383,0.8142397597385864,434,6,6,0.07810280391498574,NA
lgb,sensor_only,06,5,0.24053030303030304,0.8086486486486486,0.5245894758394758,0.5654176904176899,530,12,6,0.09158203973520893,NA
lgb,sensor_only,07,6,0.2577639751552795,0.9252767527675276,0.5915203639614035,0.7365118837523781,530,12,6,0.09158203973520893,NA
lgb,sensor_only,08,7,0.11824324324324324,0.9449929478138223,0.5316180955285328,0.6300413601189335,434,6,6,0.07810280391498574,NA
lgb,sensor_only,09,8,0.043859649122807015,0.9168110918544194,0.48033537048861324,0.47003050665369306,346,11,5,0.06898319952824654,NA
lgb,sensor_only,10,9,0.2,0.8431983385254413,0.5215991692627207,0.5654122056313479,530,12,6,0.09158203973520893,NA
lgb,sensor_only,11,10,0.13592233009708737,0.9661016949152542,0.5510120125061708,0.7009215073226929,530,12,6,0.09158203973520893,NA
lgb,sensor_only,12,11,0.11730205278592376,0.9746524938675388,0.5459772733267313,0.6645118129305604,530,12,6,0.09158203973520893,NA
lgb,sensor_only,13,12,0.37142857142857144,0.8327272727272728,0.6020779220779221,0.6707857142857138,530,12,6,0.09158203973520893,NA
lgb,sensor_only,14,13,0.3181818181818182,0.9688929551692589,0.6435373866755385,0.8192214921400676,530,12,6,0.09158203973520893,NA
lgb,sensor_only,15,14,0.46715328467153283,0.8463810930576071,0.65676718886457,0.7233393351949879,530,12,6,0.09158203973520893,NA
lgb,sensor_only,16,15,0.225,0.8368055555555556,0.5309027777777778,0.628047839506176,530,12,6,0.09158203973520893,NA
lgb,sensor_only,17,16,0.2740740740740741,0.9703049759229535,0.6221895249985138,0.776434219130848,571,10,10,0.05756449730883383,NA
lgb,sensor_only,18,17,0.2966507177033493,0.7831541218637993,0.5399024197835742,0.6032138018555668,434,6,6,0.07810280391498574,NA
lgb,sensor_only,19,18,0.4766355140186916,0.8551282051282051,0.6658818595734484,0.7731248502276523,530,12,6,0.09158203973520893,NA
lgb,sensor_only,20,19,0.38202247191011235,0.8826631509558339,0.6323428114329731,0.7135423996207779,434,6,6,0.07810280391498574,NA
