metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_raw,p_BH,p_holm,sig_raw,sig_BH,sig_holm
sens,Transformer,XGB (tuned),0.649109710207098,0.5944877120123478,0.054621998194750165,-0.02100348999466936,0.12212565222559496,0.144,0.18,1,FALSE,FALSE,FALSE
sens,XGB (default),XGB (tuned),0.416807888570512,0.5944877120123478,-0.1776798234418358,-0.20092513023085803,-0.15667380059288047,0,0,0,TRUE,TRUE,TRUE
spec,Attention (default),DT,0.697892351125697,0.6594924504466674,0.03839990067902968,-0.01949921881000217,0.08562604601447929,0.178,0.2209655172413793,1,FALSE,FALSE,FALSE
spec,Attention (default),LGB (default),0.697892351125697,0.8841180632237828,-0.18622571209808578,-0.21671506505344387,-0.15985389924822033,0,0,0,TRUE,TRUE,TRUE
spec,Attention (default),LGB (tuned),0.697892351125697,0.8854582302141317,-0.18756587908843467,-0.2182892635613224,-0.1618743335527579,0,0,0,TRUE,TRUE,TRUE
spec,Attention (default),LR,0.697892351125697,0.6425359884870512,0.055356362638645865,0.008625556897421902,0.09944514765590984,0.016,0.0225,0.848,TRUE,TRUE,FALSE
spec,Attention (default),RF (default),0.697892351125697,0.9314267557789168,-0.23353440465321976,-0.2594956749210723,-0.20968287047239595,0,0,0,TRUE,TRUE,TRUE
spec,Attention (default),RF (tuned),0.697892351125697,0.9168674033000004,-0.2189750521743034,-0.24511969489399946,-0.1950824808207775,0,0,0,TRUE,TRUE,TRUE
spec,Attention (default),Transformer,0.697892351125697,0.531384722687577,0.16650762843812006,0.11756549199027008,0.2057172381285131,0,0,0,TRUE,TRUE,TRUE
spec,Attention (default),XGB (default),0.697892351125697,0.8138069409247455,-0.11591458979904844,-0.14888918887281694,-0.08596441645066472,0,0,0,TRUE,TRUE,TRUE
spec,Attention (default),XGB (tuned),0.697892351125697,0.6912145550284525,0.0066777960972444934,-0.036246980554391045,0.04732813627427468,0.82,0.853179190751445,1,FALSE,FALSE,FALSE
spec,DT,LGB (default),0.6594924504466674,0.8841180632237828,-0.22462561277711546,-0.2768894077251122,-0.16820766214642657,0,0,0,TRUE,TRUE,TRUE
spec,DT,LGB (tuned),0.6594924504466674,0.8854582302141317,-0.22596577976746435,-0.2792091343925254,-0.16638776417726892,0,0,0,TRUE,TRUE,TRUE
spec,DT,LR,0.6594924504466674,0.6425359884870512,0.016956461959616163,-0.02821425930953209,0.06897971587329628,0.52,0.5777777777777778,1,FALSE,FALSE,FALSE
spec,DT,RF (default),0.6594924504466674,0.9314267557789168,-0.27193430533224944,-0.32212106623915093,-0.21968167322306445,0,0,0,TRUE,TRUE,TRUE
spec,DT,RF (tuned),0.6594924504466674,0.9168674033000004,-0.2573749528533331,-0.3110240093503614,-0.2018308161880375,0,0,0,TRUE,TRUE,TRUE
spec,DT,Transformer,0.6594924504466674,0.531384722687577,0.12810772775909035,0.055834921936211604,0.1993200072429071,0,0,0,TRUE,TRUE,TRUE
spec,DT,XGB (default),0.6594924504466674,0.8138069409247455,-0.15431449047807813,-0.2079882484183925,-0.0956080834316098,0,0,0,TRUE,TRUE,TRUE
spec,DT,XGB (tuned),0.6594924504466674,0.6912145550284525,-0.031722104581785183,-0.08715850884923185,0.03003179154847568,0.294,0.35516778523489934,1,FALSE,FALSE,FALSE
spec,LGB (default),LGB (tuned),0.8841180632237828,0.8854582302141317,-0.0013401669903489015,-0.004563829806011528,0.0026537237260267506,0.498,0.5567701863354036,1,FALSE,FALSE,FALSE
spec,LGB (default),LR,0.8841180632237828,0.6425359884870512,0.24158207473673163,0.1991057921921089,0.2795747686628608,0,0,0,TRUE,TRUE,TRUE
spec,LGB (default),RF (default),0.8841180632237828,0.9314267557789168,-0.04730869255513399,-0.06181302822985042,-0.03453049329287566,0,0,0,TRUE,TRUE,TRUE
spec,LGB (default),RF (tuned),0.8841180632237828,0.9168674033000004,-0.03274934007621764,-0.04452300928620362,-0.022199214780652763,0,0,0,TRUE,TRUE,TRUE
spec,LGB (default),Transformer,0.8841180632237828,0.531384722687577,0.3527333405362058,0.3025414994992478,0.3981702379534051,0,0,0,TRUE,TRUE,TRUE
spec,LGB (default),XGB (default),0.8841180632237828,0.8138069409247455,0.07031112229903733,0.05921855805494297,0.08285910769560129,0,0,0,TRUE,TRUE,TRUE
spec,LGB (default),XGB (tuned),0.8841180632237828,0.6912145550284525,0.19290350819533028,0.16495460086706745,0.22170482661411156,0,0,0,TRUE,TRUE,TRUE
spec,LGB (tuned),LR,0.8854582302141317,0.6425359884870512,0.24292224172708052,0.20034085429709947,0.28192779379853616,0,0,0,TRUE,TRUE,TRUE
spec,LGB (tuned),RF (default),0.8854582302141317,0.9314267557789168,-0.04596852556478509,-0.060123314970323624,-0.032873530732060854,0,0,0,TRUE,TRUE,TRUE
