metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_A_gt_B,p_two_sided
spec,LR,RF (default),0.6425359884870512,0.9314267557789168,-0.28889076729186564,-0.3316613561818945,-0.2501700626402009,0,0
spec,LR,RF (tuned),0.6425359884870512,0.915371625993825,-0.27283563750677386,-0.3454047348523311,-0.20019891272440576,0,0
spec,LR,Transformer,0.6425359884870512,0.5039615937071629,0.13857439477988823,0.07704570169369923,0.20279731731515402,1,0
spec,LR,XGB (default),0.6425359884870512,0.8138069409247455,-0.1712709524376943,-0.21351869972305149,-0.1274153419922459,0,0
spec,LR,XGB (tuned),0.6425359884870512,0.691742058255574,-0.04920606976852287,-0.13453843113209732,0.03628337548412527,0.128,0.256
spec,RF (default),Attention (default),0.9314267557789168,0.697892351125697,0.23353440465321978,0.20876103196943632,0.2572365462253626,1,0
spec,RF (default),Attention (tuned),0.9314267557789168,0.6617741694906961,0.26965258628822064,0.23272100137739207,0.3029045623430608,1,0
spec,RF (default),DT,0.9314267557789168,0.6594924504466674,0.27193430533224944,0.22083417570401082,0.3249672745700641,1,0
spec,RF (default),LGB (default),0.9314267557789168,0.8841180632237827,0.04730869255513403,0.03358650378687367,0.06339574057206063,1,0
spec,RF (default),LGB (tuned),0.9314267557789168,0.8925126293097632,0.038914126469153654,0.025543612599863243,0.05414971056271606,1,0
spec,RF (default),LR,0.9314267557789168,0.6425359884870512,0.28889076729186564,0.24640661219699792,0.3301638772366509,1,0
spec,RF (default),RF (tuned),0.9314267557789168,0.915371625993825,0.016055129785091746,-0.02957576315465984,0.06305872442807502,0.764,0.472
spec,RF (default),Transformer,0.9314267557789168,0.5039615937071629,0.4274651620717539,0.387320124328369,0.4657461385974874,1,0
spec,RF (default),XGB (default),0.9314267557789168,0.8138069409247455,0.11761981485417133,0.09625358906291964,0.14214049237288012,1,0
spec,RF (default),XGB (tuned),0.9314267557789168,0.691742058255574,0.23968469752334276,0.16912838232624253,0.3123838463785658,1,0
spec,RF (tuned),Attention (default),0.915371625993825,0.697892351125697,0.21747927486812804,0.16957592400694804,0.2666171662787565,1,0
spec,RF (tuned),Attention (tuned),0.915371625993825,0.6617741694906961,0.2535974565031289,0.19241194925797467,0.3092141486491797,1,0
spec,RF (tuned),DT,0.915371625993825,0.6594924504466674,0.2558791755471577,0.17299770310658064,0.3345531673855033,1,0
spec,RF (tuned),LGB (default),0.915371625993825,0.8841180632237827,0.031253562770042286,-0.01751128033243397,0.0760832790619286,0.889,0.222
spec,RF (tuned),LGB (tuned),0.915371625993825,0.8925126293097632,0.022858996684061914,-0.03070894805409372,0.07222119709053088,0.808,0.384
spec,RF (tuned),LR,0.915371625993825,0.6425359884870512,0.27283563750677386,0.1954080909458264,0.3370721118581111,1,0
spec,RF (tuned),RF (default),0.915371625993825,0.9314267557789168,-0.016055129785091746,-0.058238402313713494,0.02748998222174716,0.27,0.54
spec,RF (tuned),Transformer,0.915371625993825,0.5039615937071629,0.4114100322866621,0.36176130193041783,0.4618654229969987,1,0
spec,RF (tuned),XGB (default),0.915371625993825,0.8138069409247455,0.10156468506907959,0.042520029181044014,0.15508431914998594,0.999,0.002
spec,RF (tuned),XGB (tuned),0.915371625993825,0.691742058255574,0.22362956773825102,0.1888014692921059,0.2622017190024995,1,0
spec,Transformer,Attention (default),0.5039615937071629,0.697892351125697,-0.19393075741853408,-0.21867520494714257,-0.16156159022343827,0,0
spec,Transformer,Attention (tuned),0.5039615937071629,0.6617741694906961,-0.1578125757835332,-0.19843639148826298,-0.11678804505767673,0,0
spec,Transformer,DT,0.5039615937071629,0.6594924504466674,-0.1555308567395044,-0.22318859716307338,-0.09131319152214856,0,0
spec,Transformer,LGB (default),0.5039615937071629,0.8841180632237827,-0.38015646951661985,-0.4165496831263934,-0.3441555477106461,0,0
spec,Transformer,LGB (tuned),0.5039615937071629,0.8925126293097632,-0.38855103560260024,-0.42430159338357676,-0.35258100934023384,0,0
spec,Transformer,LR,0.5039615937071629,0.6425359884870512,-0.13857439477988823,-0.205731997452153,-0.08001185798972943,0,0
spec,Transformer,RF (default),0.5039615937071629,0.9314267557789168,-0.4274651620717539,-0.46593195298551515,-0.38880858268681995,0,0
spec,Transformer,RF (tuned),0.5039615937071629,0.915371625993825,-0.4114100322866621,-0.46526981426230746,-0.3638463699006193,0,0
spec,Transformer,XGB (default),0.5039615937071629,0.8138069409247455,-0.30984534721758256,-0.3471310359330746,-0.27137130663421893,0,0
spec,Transformer,XGB (tuned),0.5039615937071629,0.691742058255574,-0.1877804645484111,-0.2610221267992466,-0.11000024191904226,0,0
spec,XGB (default),Attention (default),0.8138069409247455,0.697892351125697,0.11591458979904844,0.0790896015737221,0.14543716251997754,1,0
spec,XGB (default),Attention (tuned),0.8138069409247455,0.6617741694906961,0.15203277143404934,0.1167373589681118,0.18812060930203592,1,0
spec,XGB (default),DT,0.8138069409247455,0.6594924504466674,0.15431449047807813,0.10231698343337552,0.2087776119616975,1,0
spec,XGB (default),LGB (default),0.8138069409247455,0.8841180632237827,-0.07031112229903731,-0.08200314502246474,-0.059346733177808524,0,0
spec,XGB (default),LGB (tuned),0.8138069409247455,0.8925126293097632,-0.07870568838501768,-0.09134795622315615,-0.06681552301429708,0,0
spec,XGB (default),LR,0.8138069409247455,0.6425359884870512,0.1712709524376943,0.12720846854224535,0.2080277904064345,1,0
spec,XGB (default),RF (default),0.8138069409247455,0.9314267557789168,-0.11761981485417133,-0.1427498182830224,-0.09408667608828734,0,0
spec,XGB (default),RF (tuned),0.8138069409247455,0.915371625993825,-0.10156468506907959,-0.15843287272659112,-0.04431065399204288,0.001,0.002
spec,XGB (default),Transformer,0.8138069409247455,0.5039615937071629,0.30984534721758256,0.2715476526032945,0.34826286974653314,1,0
spec,XGB (default),XGB (tuned),0.8138069409247455,0.691742058255574,0.12206488266917143,0.046751815291585765,0.198456079231359,1,0
spec,XGB (tuned),Attention (default),0.691742058255574,0.697892351125697,-0.006150292870122981,-0.08010289219584546,0.0631196952413381,0.438,0.876
spec,XGB (tuned),Attention (tuned),0.691742058255574,0.6617741694906961,0.02996788876487791,-0.05856424911792802,0.1069182992061841,0.766,0.468
spec,XGB (tuned),DT,0.691742058255574,0.6594924504466674,0.0322496078089067,-0.06521239679683691,0.13380192294217064,0.728,0.544
spec,XGB (tuned),LGB (default),0.691742058255574,0.8841180632237827,-0.19237600496820875,-0.26662795686456264,-0.11634266133742784,0,0
spec,XGB (tuned),LGB (tuned),0.691742058255574,0.8925126293097632,-0.2007705710541891,-0.2717387808916192,-0.13177249800296445,0,0
spec,XGB (tuned),LR,0.691742058255574,0.6425359884870512,0.04920606976852287,-0.03519229306677736,0.1363228751249836,0.873,0.254
spec,XGB (tuned),RF (default),0.691742058255574,0.9314267557789168,-0.23968469752334276,-0.3126267036446151,-0.17375682414374916,0,0
spec,XGB (tuned),RF (tuned),0.691742058255574,0.915371625993825,-0.22362956773825102,-0.2622320308435644,-0.18545922987547178,0,0
spec,XGB (tuned),Transformer,0.691742058255574,0.5039615937071629,0.1877804645484111,0.11264087300827667,0.25905274403396344,1,0
spec,XGB (tuned),XGB (default),0.691742058255574,0.8138069409247455,-0.12206488266917143,-0.20575833906326424,-0.04606930443930128,0,0
bal_acc,Attention (default),Attention (tuned),0.609466027473371,0.6196176283052847,-0.010151600831913694,-0.025509019837791184,0.00340287366235298,0.071,0.142
bal_acc,Attention (default),DT,0.609466027473371,0.6157896373458372,-0.006323609872466304,-0.02714595155546664,0.014800749930874187,0.286,0.572
bal_acc,Attention (default),LGB (default),0.609466027473371,0.5896914990090194,0.019774528464351578,8.119712650749236e-4,0.03786513025661859,0.98,0.04
bal_acc,Attention (default),LGB (tuned),0.609466027473371,0.586916696000842,0.022549331472529015,-0.0031663724021428856,0.04115481310040102,0.965,0.07
bal_acc,Attention (default),LR,0.609466027473371,0.6338292854408476,-0.02436325796747666,-0.04154535696703882,-0.008207490583422987,0.001,0.002
bal_acc,Attention (default),RF (default),0.609466027473371,0.5776772020554244,0.03178882541794653,0.010290466974911662,0.051520668823503014,0.997,0.006
bal_acc,Attention (default),RF (tuned),0.609466027473371,0.577660400157234,0.03180562731613695,-4.577836968199709e-4,0.06595007760143147,0.973,0.054
bal_acc,Attention (default),Transformer,0.609466027473371,0.5972668221777979,0.012199205295573076,-0.001494528963510446,0.026451618945900864,0.952,0.096
bal_acc,Attention (default),XGB (default),0.609466027473371,0.6153074147476287,-0.005841387274257779,-0.01939940903609766,0.00720537794738088,0.203,0.406
bal_acc,Attention (default),XGB (tuned),0.609466027473371,0.6424139355233309,-0.03294790804996002,-0.0713887742067877,0.008598116585528774,0.052,0.104
bal_acc,Attention (tuned),Attention (default),0.6196176283052847,0.609466027473371,0.010151600831913694,-0.0035460198443393732,0.024529933069379742,0.919,0.162
bal_acc,Attention (tuned),DT,0.6196176283052847,0.6157896373458372,0.0038279909594473916,-0.017312125731523742,0.025324354282050928,0.625,0.75
bal_acc,Attention (tuned),LGB (default),0.6196176283052847,0.5896914990090194,0.02992612929626527,0.01633171579093107,0.04239235589095122,1,0
