subject,model,sens,spec,bal_acc,auc
03,Transformer,0.7469733656174334,0.56,0.6534866828087167,0.6949016343825667
04,Transformer,0.7089285714285715,0.5984427141268076,0.6536856427776896,0.7166653424439854
05,Transformer,0.75,0.6447602131438721,0.697380106571936,0.7433629818448063
06,Transformer,0.6060606060606061,0.4702702702702703,0.5381654381654382,0.5506879606879607
07,Transformer,0.7546583850931677,0.4972324723247232,0.6259454287089454,0.6466073434026266
08,Transformer,0.6317567567567568,0.5035260930888575,0.5676414249228072,0.5954856478481302
09,Transformer,0.5701754385964912,0.4168110918544194,0.49349326522545534,0.530549727872541
10,Transformer,0.45977011494252873,0.5638629283489096,0.5118165216457191,0.5205118105537054
11,Transformer,0.5339805825242718,0.6558018252933507,0.5948912039088112,0.6449285452082885
12,Transformer,0.592375366568915,0.5568274734260016,0.5746014199974583,0.6274580798622684
13,Transformer,0.6964285714285714,0.4187878787878787,0.557608225108225,0.61895670995671
14,Transformer,0.7613636363636364,0.6935041171088746,0.7274338767362555,0.8104674374116277
15,Transformer,0.8248175182481752,0.345642540620384,0.5852300294342796,0.6657214633041865
16,Transformer,0.5416666666666666,0.5891203703703703,0.5653935185185185,0.576880787037037
17,Transformer,0.8074074074074075,0.434991974317817,0.6211996908626123,0.699013138338981
18,Transformer,0.7607655502392344,0.4005376344086022,0.5806515923239183,0.598249043919672
19,Transformer,0.794392523364486,0.5230769230769231,0.6587347232207046,0.7376108315360652
20,Transformer,0.797752808988764,0.4146341463414634,0.6061934776651137,0.6730092657744069
01,XGB (default),0.44171779141104295,0.7028985507246377,0.5723081710678404,0.5933700838742186
03,XGB (default),0.5653753026634383,0.765,0.6651876513317192,0.7351104721549635
04,XGB (default),0.29285714285714287,0.9421579532814238,0.6175075480692833,0.7338789130780231
05,XGB (default),0.5353053435114504,0.872113676731794,0.7037095101216222,0.8205123859368441
06,XGB (default),0.45075757575757575,0.7145945945945946,0.5826760851760852,0.5903132678132671
07,XGB (default),0.5062111801242236,0.8385608856088561,0.6723860328665399,0.7700001145974186
08,XGB (default),0.20270270270270271,0.9055007052186178,0.5541017039606603,0.6414439827697935
09,XGB (default),0.16374269005847952,0.8310225303292894,0.49738261019388447,0.5263918027303949
10,XGB (default),0.2413793103448276,0.8203530633437176,0.5308661868442726,0.5955741755290568
11,XGB (default),0.1650485436893204,0.9569752281616688,0.5610118859254946,0.6624536398273451
12,XGB (default),0.3343108504398827,0.8740801308258381,0.6041954906328604,0.6709308152876293
13,XGB (default),0.44642857142857145,0.7884848484848485,0.61745670995671,0.6625584415584425
14,XGB (default),0.5113636363636364,0.8874656907593779,0.699414663561507,0.8186392747234499
15,XGB (default),0.7737226277372263,0.5568685376661743,0.6652955827017003,0.7544340100701863
16,XGB (default),0.2916666666666667,0.8807870370370371,0.5862268518518519,0.6983892746913609
17,XGB (default),0.4,0.9149277688603531,0.6574638844301766,0.8160394744664399
18,XGB (default),0.5885167464114832,0.6362007168458781,0.6123587316286807,0.6484196806777454
19,XGB (default),0.5981308411214953,0.7378205128205129,0.6679756769710041,0.737982266954232
20,XGB (default),0.4101123595505618,0.8365194462755439,0.6233159029130528,0.6947849466347696
01,XGB (tuned),0.6666666666666666,0.8443017656500803,0.7554842161583735,0.825349265798704
